WY,WY_label,Year_group,Watershed,Watershed_group,Area,H2O,DOC ,Cl,NO3,SO4,NH4,Si,N flux,Ca,K,Mg,Na,H,Al,ANC,HCO3,Discharge L/s,EQPH,Ca_vol,Mg_vol,NO3_vol,SO4_vol,DOC_vol
1989,89,1989,EB,EB (reference),10.9,106,2218,616,182.8,1014,8,495,190.8,768,86,289,749,34,63,55,45,10.51,5.76,78.96,29.67,18.79,104.27,228.09
1990,90,,EB,EB (reference),10.9,93,1379,483,110.6,928,1.8,448,112.4,588,47,211,564,25,46,32.3,27,10.19,5.68,68.88,24.7,12.97,108.8,161.68
1991,,,EB,EB (reference),10.9,106,1720,504,144.3,996,1.9,564,146.2,714,57,264,659,32,66,20.9,29,13.87,5.65,73.38,27.12,14.84,102.44,176.85
1992,92,,EB,EB (reference),10.9,89,1224,507,41.4,833,1.3,497,42.7,602,42,227,579,21,45,30.3,36,5.84,5.77,73.7,27.85,5.07,102.04,149.92
1993,,,EB,EB (reference),10.9,84,1173,462,25.7,755,0.4,450,26.1,532,40,202,546,18,41,28.4,32,10.2,5.81,69.07,26.22,3.34,98.01,152.17
1994,94,,EB,EB (reference),10.9,103,1551,667,15.8,904,0.1,517,15.9,628,51,226,700,42,71,13.5,31,12.63,5.52,66.41,23.96,1.68,95.7,164.18
1995,,,EB,EB (reference),10.9,66,1030,421,13.3,587,1.2,380,14.5,420,31,150,493,22,34,5,22,6.21,5.57,69.29,24.78,2.2,96.93,170.15
1996,96,,EB,EB (reference),10.9,156,2632,1311,13.5,1212,5.7,806,19.2,925,78,347,1253,75,70,10.7,43,10.29,5.4,64.63,24.23,0.94,84.69,183.91
1997,,,EB,EB (reference),10.9,100,1632,609,26,829,0.3,534,26.3,552,51,204,673,52,69,22.1,48,8.04,5.61,60.19,22.29,2.83,90.33,177.91
1998,98,,EB,EB (reference),10.9,105,2123,533,7.6,864,1.3,532,8.8,484,50,185,636,32,54,20.7,36,11.69,5.67,50.21,19.17,0.79,89.68,220.35
1999,,,EB,EB (reference),10.9,96,1476,588,35.6,799,6.8,462,42.4,529,50,211,658,26,44,15.1,30,6.31,5.72,60.05,24.01,4.04,90.69,167.6
2000,0,,EB,EB (reference),10.9,114,2073,883,15.3,894,7.2,603,22.5,573,54,229,884,56,66,7.6,30,9.59,5.37,54.83,21.86,1.46,85.47,198.18
2001,,,EB,EB (reference),10.9,54,1037,344,4.4,439,0.8,304,5.2,282,22,111,411,14,28,24.4,21,5.13,5.8,56.89,22.34,0.89,88.69,209.38
2002,2,,EB,EB (reference),10.9,76,1492,544,7.5,615,2.8,430,10.3,385,32,156,606,23,44,24.4,22,15.14,5.63,55.15,22.38,1.08,88.25,213.93
2003,,,EB,EB (reference),10.9,90,1828,502,6.4,711,0.5,466,6.9,398,34,169,641,29,56,19.8,22,13.28,5.55,48.18,20.46,0.78,86.15,221.36
2004,4,,EB,EB (reference),10.9,118,515,767,2.9,911,,,2.9,599,48,228,891,38,50,31.7,37,19.15,5.58,55.33,21.04,0.27,84.13,47.53
2005,,,EB,EB (reference),10.9,119,2098,595,6.3,916,,,6.3,540,53,215,791,38,18,37.1,45,24.35,5.62,49.47,19.68,0.57,83.94,192.21
2006,6,,EB,EB (reference),10.9,144,2331,682,9.4,1033,36.5,,45.9,681,52,275,919,34,47,60.6,56,4.78,5.75,51.51,20.8,0.71,78.19,176.46
2007,,,EB,EB (reference),10.9,108,1871,420,19.8,728,,,19.8,426,53,187,578,27,67,58.9,48,29.56,5.7,43.2,18.93,2.01,73.77,189.61
2008,8,,EB,EB (reference),10.9,130,2559,507,6.6,825,11.7,26,18.3,505,45,202,678,32,71,65.9,63,35.17,5.7,42.38,16.91,0.56,69.25,214.73
2009,,,EB,EB (reference),10.9,155,2155,730,1.8,1006,,,1.8,644,45,280,928,28,70,99.2,101,5.21,6.04,45.31,19.72,0.12,70.76,151.58
2010,10,,EB,EB (reference),10.9,109,1501,479,0.1,679,,,0.1,454,37,193,656,11,44,107.9,95,23.61,5.99,45.43,19.31,0.01,67.88,150.11
2011,,,EB,EB (reference),10.9,149,1940,719,0.6,794,,,0.6,563,42,242,854,22,69,70.1,81,8.24,6.07,41.18,17.7,0.04,58.11,141.92
2012,12,,EB,EB (reference),10.9,130,1729,781,11.3,712,,,11.3,575,48,233,829,12,50,127.2,109,19.72,6.13,48.21,19.52,0.95,59.7,144.99
2013,,,EB,EB (reference),10.9,146,1917,812,7.5,828,,,7.5,637,45,255,987,10,51,213.9,170,3.79,6.16,47.58,19.04,0.56,61.81,143.14
2014,14,,EB,EB (reference),10.9,91,1403,424,5.8,454,,,5.8,220,30,93,306,5,2,102,105,11.21,6.13,26.36,11.13,0.7,54.44,168.25
2015,,,EB,EB (reference),10.9,111,1463,466,1.5,562,,,,370,43,155,529,13,38,71.9,57,13.42,5.96,36.31,15.22,0.15,55.21,143.7
2016,16,,EB,EB (reference),10.9,107,1422,618,7.4,466,,,,388,37,143,541,10,34,87.4,63,4.62,5.92,39.41,14.53,0.75,47.32,144.39
2017,,,EB,EB (reference),10.9,122,1862,822,3.8,538,6.1,,,412,49,173,739,13,42,104.7,74,18.03,5.88,36.69,15.39,0.34,47.94,165.8
2018,18,,EB,EB (reference),10.9,123,1895,801,1.9,569,13.3,,,388,56,162,737,14,55,83.8,62,11.08,5.87,34.41,14.36,0.17,50.45,168.08
1989,89,,WB,WB (pre-treatment),10.26,111,2419,697,216,1177,7.9,665,223,904,117,354,857,25,55,109.5,84,12.12,6.04,83.58,32.75,19.93,108.81,223.61
1990,90,,WB,WB (treatment),10.26,94,1432,610,185,1151,4.6,673,189,834,76,318,759,25,49,68.5,52,8.45,5.96,91.04,34.71,20.17,125.62,156.29
1991,,,WB,WB (treatment),10.26,114,1563,603,502,1549,8.6,786,510,1162,94,455,846,51,105,27.1,35,12.15,5.62,104.54,40.99,45.17,139.44,140.64
1992,92,,WB,WB (treatment),10.26,90,1097,559,373,1356,10.9,667,384,1019,76,395,712,45,81,10,25,5.73,5.49,116.18,44.98,42.48,154.63,125.09
1993,,,WB,WB (treatment),10.26,97,1229,529,414,1416,26.7,580,440,984,98,369,651,68,135,5.3,20,10.65,5.37,104.07,39.05,43.75,149.77,130.01
1994,94,,WB,WB (treatment),10.26,115,1644,823,409,2075,0.2,768,410,1322,110,451,927,111,226,2.7,25,10.95,5.16,117.92,40.24,36.52,185.15,146.71
1995,,,WB,WB (treatment),10.26,65,852,462,395,1193,8.5,479,404,815,65,283,573,71,150,2,14,7.84,5.11,128.59,44.62,62.37,188.33,134.43
1996,96,,WB,WB (treatment),10.26,132,1834,1267,443,2446,10.4,822,454,1517,120,523,1252,174,147,0.5,30,10.31,4.97,117.91,40.64,34.46,190.11,142.58
1997,,,WB,WB (treatment),10.26,89,1186,621,354,1562,10,620,364,864,75,302,684,99,203,0.3,19,6.82,5.08,99.61,34.79,40.8,180.06,136.68
1998,98,,WB,WB (treatment),10.26,115,1873,708,444,2074,4.7,784,449,1065,108,400,864,134,189,0.1,22,7.27,5.02,95,35.66,39.62,185,167.07
1999,,,WB,WB (treatment),10.26,99,1421,676,717,1737,27.4,632,745,1017,113,399,805,122,226,1.1,18,7.21,4.96,105.39,41.32,74.33,180.03,147.27
2000,0,,WB,WB (treatment),10.26,103,1644,862,450,1787,12,752,462,933,99,349,901,182,231,0.1,18,9.3,4.79,92.97,34.77,44.85,177.98,163.74
2001,,,WB,WB (treatment),10.26,51,925,369,205,907,2,390,207,490,45,187,467,64,108,1.9,10,4.69,5.07,98.66,37.61,41.24,182.49,186.03
2002,2,,WB,WB (treatment),10.26,72,1206,590,238,1355,6.7,544,245,686,58,265,658,90,181,2.1,13,14.33,5,97.73,37.73,33.96,193.11,171.91
2003,,,WB,WB (treatment),10.26,87,1650,593,132,1551,23.4,584,156,744,65,295,735,101,183,0.6,14,12.44,4.98,87.71,34.76,15.59,182.88,194.59
2004,4,,WB,WB (treatment),10.26,115,483,854,142,1991,35.2,,177,979,91,365,995,145,174,0,22,17.04,4.91,87.3,32.54,12.65,177.62,43.09
2005,,,WB,WB (treatment),10.26,114,1525,646,313,1930,,,313,917,88,358,893,157,85,0.6,19,14.06,4.95,82.52,32.19,28.2,173.74,137.25
2006,6,,WB,WB (treatment),10.26,159,2469,822,487,2427,25.3,,513,1280,111,494,1188,224,223,0.4,20,9.65,4.93,82.6,31.88,31.45,156.64,159.31
2007,,,WB,WB (treatment),10.26,114,1832,493,559,1699,28.2,,588,851,103,348,723,158,268,0.7,17,41.66,4.89,76.49,31.27,50.26,152.67,164.61
2008,8,,WB,WB (treatment),10.26,131,2336,598,483,2021,9.7,40,493,1009,95,381,897,184,285,0.8,18,25.13,4.87,78.73,29.7,37.7,157.73,182.34
2009,,,WB,WB (treatment),10.26,158,1884,811,448,2349,,,448,1182,92,469,1144,166,290,0,20,6.42,5.09,76.73,30.47,29.09,152.55,122.36
2010,10,,WB,WB (treatment),10.26,101,1317,512,321,1485,,,321,788,75,313,755,98,177,4.5,16,21.33,5.08,80.04,31.83,32.59,150.82,133.82
2011,,,WB,WB (treatment),10.26,136,1579,747,394,2030,,,394,986,84,404,988,148,302,0.2,14,6.32,5.21,74.37,30.44,29.7,153.18,119.11
2012,12,,WB,WB (treatment),10.26,111,1314,739,473,1631,,,473,883,85,351,868,119,233,0.9,14,16.91,5.01,81.58,32.48,43.68,150.75,121.44
2013,,,WB,WB (treatment),10.26,141,1743,884,434,2081,,,434,1073,90,425,1166,147,255,0.3,22,3.74,4.98,78.1,30.9,31.61,151.42,126.82
2014,14,,WB,WB (treatment),10.26,89,1353,462,495,1305,,,495,465,56,156,398,69,10,1.4,19,10.59,4.99,53.5,17.91,56.92,150.18,155.73
2015,,,WB,WB (treatment),10.26,108,1134,518,511,1363,,,,663,72,272,694,126,228,0.1,17,7.4,5.06,63.17,25.89,48.68,129.96,108.14
2016,16,,WB,WB (treatment),10.26,106,1307,651,315,1446,,,,711,62,254,528,106,189,0,20,4.32,4.83,68.97,24.64,30.58,140.26,126.72
2017,,,WB,WB (recovery),10.26,120,1592,837,93,1598,10.3,,,708,63,257,865,106,202,0,23,16.04,4.89,60.63,21.99,8.01,136.91,136.41
2018,18,,WB,WB (recovery),10.26,120,2014,892,26,1347,18.2,,,634,92,238,884,67,168,20.7,35,11.19,5.02,54.13,20.32,2.2,114.92,171.87