WY,Watershed,Area_ha,NO3_ueq_L,SO4_ueq_L,Ca_ueq_L,Mg_ueq_L,H2O_1e6_L
1989,EB,10.9,182.8,1014,768,289,106
1990,EB,10.9,110.6,928,588,211,93
1991,EB,10.9,144.3,996,714,264,106
1992,EB,10.9,41.4,833,602,227,89
1993,EB,10.9,25.7,755,532,202,84
1994,EB,10.9,15.8,904,628,226,103
1995,EB,10.9,13.3,587,420,150,66
1996,EB,10.9,13.5,1212,925,347,156
1997,EB,10.9,26,829,552,204,100
1998,EB,10.9,7.6,864,484,185,105
1999,EB,10.9,35.6,799,529,211,96
2000,EB,10.9,15.3,894,573,229,114
2001,EB,10.9,4.4,439,282,111,54
2002,EB,10.9,7.5,615,385,156,76
2003,EB,10.9,6.4,711,398,169,90
2004,EB,10.9,2.9,911,599,228,118
2005,EB,10.9,6.3,916,540,215,119
2006,EB,10.9,9.4,1033,681,275,144
2007,EB,10.9,19.8,728,426,187,108
2008,EB,10.9,6.6,825,505,202,130
2009,EB,10.9,1.8,1006,644,280,155
2010,EB,10.9,0.1,679,454,193,109
2011,EB,10.9,0.6,794,563,242,149
2012,EB,10.9,11.3,712,575,233,130
2013,EB,10.9,7.5,828,637,255,146
2014,EB,10.9,5.8,454,220,93,91
2015,EB,10.9,1.5,562,370,155,111
2016,EB,10.9,7.4,466,388,143,107
2017,EB,10.9,3.8,538,412,173,122
2018,EB,10.9,1.9,569,388,162,123
1989,WB,10.26,216,1177,904,354,111
1990,WB,10.26,185,1151,834,318,94
1991,WB,10.26,502,1549,1162,455,114
1992,WB,10.26,373,1356,1019,395,90
1993,WB,10.26,414,1416,984,369,97
1994,WB,10.26,409,2075,1322,451,115
1995,WB,10.26,395,1193,815,283,65
1996,WB,10.26,443,2446,1517,523,132
1997,WB,10.26,354,1562,864,302,89
1998,WB,10.26,444,2074,1065,400,115
1999,WB,10.26,717,1737,1017,399,99
2000,WB,10.26,450,1787,933,349,103
2001,WB,10.26,205,907,490,187,51
2002,WB,10.26,238,1355,686,265,72
2003,WB,10.26,132,1551,744,295,87
2004,WB,10.26,142,1991,979,365,115
2005,WB,10.26,313,1930,917,358,114
2006,WB,10.26,487,2427,1280,494,159
2007,WB,10.26,559,1699,851,348,114
2008,WB,10.26,483,2021,1009,381,131
2009,WB,10.26,448,2349,1182,469,158
2010,WB,10.26,321,1485,788,313,101
2011,WB,10.26,394,2030,986,404,136
2012,WB,10.26,473,1631,883,351,111
2013,WB,10.26,434,2081,1073,425,141
2014,WB,10.26,495,1305,465,156,89
2015,WB,10.26,511,1363,663,272,108
2016,WB,10.26,315,1446,711,254,106
2017,WB,10.26,93,1598,708,257,120
2018,WB,10.26,26,1347,634,238,120