"","WY","Watershed","Area","H2O","DOC","NO3","SO4","ANC","Discharge L/s","EQPH","Q","WY_group","period","NO3_vol","SO4_vol","DOC_vol"
"1",1989,"EB",10.9,106,2218,182.8,1014,55,10.51,5.76,10.51,"1989","pre-treatment",18.8,104.27,228.08
"2",1990,"EB",10.9,93,1379,110.6,928,32.3,10.19,5.68,10.19,"1990-99","first decade",12.96,108.77,161.62
"3",1991,"EB",10.9,106,1720,144.3,996,20.9,13.87,5.65,13.87,"1990-99","first decade",14.84,102.42,176.87
"4",1992,"EB",10.9,89,1224,41.4,833,30.3,5.84,5.77,5.84,"1990-99","first decade",5.07,102.02,149.91
"5",1993,"EB",10.9,84,1173,25.7,755,28.4,10.2,5.81,10.2,"1990-99","first decade",3.33,97.97,152.21
"6",1994,"EB",10.9,103,1551,15.8,904,13.5,12.63,5.52,12.63,"1990-99","first decade",1.67,95.67,164.13
"7",1995,"EB",10.9,66,1030,13.3,587,5,6.21,5.57,6.21,"1990-99","first decade",2.2,96.94,170.11
"8",1996,"EB",10.9,156,2632,13.5,1212,10.7,10.29,5.4,10.29,"1990-99","first decade",0.94,84.68,183.9
"9",1997,"EB",10.9,100,1632,26,829,22.1,8.04,5.61,8.04,"1990-99","first decade",2.83,90.36,177.89
"10",1998,"EB",10.9,105,2123,7.6,864,20.7,11.69,5.67,11.69,"1990-99","first decade",0.79,89.69,220.39
"11",1999,"EB",10.9,96,1476,35.6,799,15.1,6.31,5.72,6.31,"1990-99","first decade",4.04,90.72,167.59
"12",2000,"EB",10.9,114,2073,15.3,894,7.6,9.59,5.37,9.59,"2000-09","second decade",1.46,85.48,198.21
"13",2001,"EB",10.9,54,1037,4.4,439,24.4,5.13,5.8,5.13,"2000-09","second decade",0.89,88.61,209.32
"14",2002,"EB",10.9,76,1492,7.5,615,24.4,15.14,5.63,15.14,"2000-09","second decade",1.08,88.2,213.98
"15",2003,"EB",10.9,90,1828,6.4,711,19.8,13.28,5.55,13.28,"2000-09","second decade",0.78,86.11,221.39
"16",2004,"EB",10.9,118,515,2.9,911,31.7,19.15,5.58,19.15,"2000-09","second decade",0.27,84.15,47.57
"17",2005,"EB",10.9,119,2098,6.3,916,37.1,24.35,5.62,24.35,"2000-09","second decade",0.58,83.9,192.17
"18",2006,"EB",10.9,144,2331,9.4,1033,60.6,4.78,5.75,4.78,"2000-09","second decade",0.71,78.19,176.44
"19",2007,"EB",10.9,108,1871,19.8,728,58.9,29.56,5.7,29.56,"2000-09","second decade",2,73.47,188.83
"20",2008,"EB",10.9,130,2559,6.6,825,65.9,35.17,5.7,35.17,"2000-09","second decade",0.55,69.17,214.56
"21",2009,"EB",10.9,155,2155,1.8,1006,99.2,5.21,6.04,5.21,"2000-09","second decade",0.13,70.74,151.55
"22",2010,"EB",10.9,109,1501,0.1,679,107.9,23.61,5.99,23.61,"2010-16","third decade",0.01,67.9,150.1
"23",2011,"EB",10.9,149,1940,0.6,794,70.1,8.24,6.07,8.24,"2010-16","third decade",0.04,58.08,141.92
"24",2012,"EB",10.9,130,1729,11.3,712,127.2,19.72,6.13,19.72,"2010-16","third decade",0.95,59.7,144.97
"25",2013,"EB",10.9,146,1917,7.5,828,213.9,3.79,6.16,3.79,"2010-16","third decade",0.56,61.82,143.12
"26",2014,"EB",10.9,91,1403,5.8,454,102,11.21,6.13,11.21,"2010-16","third decade",0.69,54.38,168.05
"27",2015,"EB",10.9,111,1463,1.5,562,71.9,13.42,5.96,13.42,"2010-16","third decade",0.15,55.19,143.66
"28",2016,"EB",10.9,107,1422,7.4,466,87.4,4.62,5.92,4.62,"2010-16","third decade",0.75,47.47,144.86
"29",2017,"EB",10.9,122,1862,3.8,538,104.7,18.03,5.88,18.03,"2017-18","recovery",0.34,48.07,166.36
"30",2018,"EB",10.9,123,1895,1.9,569,83.8,11.08,5.87,11.08,"2017-18","recovery",0.17,50.42,167.93
"31",1989,"WB",10.26,111,2419,216,1177,109.5,12.12,6.04,12.12,"1989","pre-treatment",19.97,108.79,223.59
"32",1990,"WB",10.26,94,1432,185,1151,68.5,8.45,5.96,8.45,"1990-99","first decade",20.19,125.63,156.3
"33",1991,"WB",10.26,114,1563,502,1549,27.1,12.15,5.62,12.15,"1990-99","first decade",45.18,139.41,140.67
"34",1992,"WB",10.26,90,1097,373,1356,10,5.73,5.49,5.73,"1990-99","first decade",42.52,154.58,125.06
"35",1993,"WB",10.26,97,1229,414,1416,5.3,10.65,5.37,10.65,"1990-99","first decade",43.79,149.77,130
"36",1994,"WB",10.26,115,1644,409,2075,2.7,10.95,5.16,10.95,"1990-99","first decade",36.49,185.13,146.67
"37",1995,"WB",10.26,65,852,395,1193,2,7.84,5.11,7.84,"1990-99","first decade",62.35,188.31,134.48
"38",1996,"WB",10.26,132,1834,443,2446,0.5,10.31,4.97,10.31,"1990-99","first decade",34.43,190.12,142.55
"39",1997,"WB",10.26,89,1186,354,1562,0.3,6.82,5.08,6.82,"1990-99","first decade",40.81,180.07,136.72
"40",1998,"WB",10.26,115,1873,444,2074,0.1,7.27,5.02,7.27,"1990-99","first decade",39.61,185.04,167.1
"41",1999,"WB",10.26,99,1421,717,1737,1.1,7.21,4.96,7.21,"1990-99","first decade",74.31,180.02,147.27
"42",2000,"WB",10.26,103,1644,450,1787,0.1,9.3,4.79,9.3,"2000-09","second decade",44.83,178.01,163.76
"43",2001,"WB",10.26,51,925,205,907,1.9,4.69,5.07,4.69,"2000-09","second decade",41.24,182.47,186.09
"44",2002,"WB",10.26,72,1206,238,1355,2.1,14.33,5,14.33,"2000-09","second decade",33.91,193.09,171.85
"45",2003,"WB",10.26,87,1650,132,1551,0.6,12.44,4.98,12.44,"2000-09","second decade",15.57,182.91,194.59
"46",2004,"WB",10.26,115,483,142,1991,0,17.04,4.91,17.04,"2000-09","second decade",12.67,177.63,43.09
"47",2005,"WB",10.26,114,1525,313,1930,0.6,14.06,4.95,14.06,"2000-09","second decade",28.17,173.7,137.25
"48",2006,"WB",10.26,159,2469,487,2427,0.4,9.65,4.93,9.65,"2000-09","second decade",31.43,156.61,159.32
"49",2007,"WB",10.26,114,1832,559,1699,0.7,41.66,4.89,41.66,"2000-09","second decade",50.31,152.91,164.88
"50",2008,"WB",10.26,131,2336,483,2021,0.8,25.13,4.87,25.13,"2000-09","second decade",37.83,158.29,182.96
"51",2009,"WB",10.26,158,1884,448,2349,0,6.42,5.09,6.42,"2000-09","second decade",29.09,152.54,122.34
"52",2010,"WB",10.26,101,1317,321,1485,4.5,21.33,5.08,21.33,"2010-16","third decade",32.61,150.85,133.79
"53",2011,"WB",10.26,136,1579,394,2030,0.2,6.32,5.21,6.32,"2010-16","third decade",29.72,153.15,119.12
"54",2012,"WB",10.26,111,1314,473,1631,0.9,16.91,5.01,16.91,"2010-16","third decade",43.72,150.76,121.46
"55",2013,"WB",10.26,141,1743,434,2081,0.3,3.74,4.98,3.74,"2010-16","third decade",31.58,151.43,126.83
"56",2014,"WB",10.26,89,1353,495,1305,1.4,10.59,4.99,10.59,"2010-16","third decade",57.06,150.44,155.98
"57",2015,"WB",10.26,108,1134,511,1363,0.1,7.4,5.06,7.4,"2010-16","third decade",48.54,129.48,107.73
"58",2016,"WB",10.26,106,1307,315,1446,0,4.32,4.83,4.32,"2010-16","third decade",30.49,139.96,126.51
"59",2017,"WB",10.26,120,1592,93,1598,0,16.04,4.89,16.04,"2017-18","recovery",7.95,136.63,136.12
"60",2018,"WB",10.26,120,2014,26,1347,20.7,11.19,5.02,11.19,"2017-18","recovery",2.22,115.17,172.2
